1,115
2,1769
3,115
4,109
5,104
6,105
7,102
8,102
9,103
10,104
11,105
12,8452
13,104
14,101
15,103
16,101
17,102
18,98
19,96
20,98
21,98
22,96
23,94
24,93
25,16610
26,97
27,91
28,98
29,94
30,92
31,96
32,92
33,92
34,95
35,92
36,89
37,94
38,25193
39,97
40,99
41,90
42,89
43,90
44,84
45,83
46,86
47,83
48,81
49,78
50,82
51,33068
52,90
53,90
54,86
55,84
56,87
57,82
58,86
59,85
60,84
61,84
62,85
63,84
64,41397
65,101
66,101
67,99
68,102
69,96
70,94
71,93
72,93
73,89
74,84
75,88
76,87
77,48267
78,123
79,118
80,115
81,117
82,119
83,115
84,116
85,119
86,119
87,112
88,117
89,113
90,54501
91,228
92,223
93,218
94,219
95,204
96,196
97,198
98,194
99,189
100,192
101,193
102,189
103,187
104,187
105,180
106,181
107,180
108,180
109,180
110,182
111,177
112,175
113,172
114,169
115,172
116,175
117,162
118,158
119,156
120,153
121,146
122,150
123,164
124,160
125,162
126,159
127,167
128,177
129,170
130,170
131,153
132,159
133,167
134,173
135,177
136,173
137,169
138,166
139,170
140,176
141,190
142,191
143,193
144,190
145,194
146,211
147,212
148,196
149,194
150,190
151,194
152,188
153,189
154,184
155,178
156,177
157,168
158,163
159,164
160,165
161,177
162,179
163,178
164,178
165,177
166,179
167,181
168,185
169,188
170,200
171,200
172,197
173,196
174,200
175,198
176,198
177,198
178,199
179,200
180,203
181,203
182,203
183,208
184,205
185,210
186,202
187,217
188,228
189,225
190,227
191,226
192,224
193,228
194,229
195,226
196,224
197,227
198,227
199,226
200,230
201,227
202,233
203,245
204,250
205,246
206,253
207,250
208,272
209,280
210,274
211,277
212,279
213,283
214,295
215,295
216,301
217,294
218,298
219,294
220,298
221,297
222,295
223,300
224,302
225,301
226,305
227,301
228,304
229,299
230,303
231,300
232,303
233,300
234,303
235,300
236,309
237,308
238,310
239,310
240,305
241,308
242,311
243,312
244,305
245,309
246,306
247,309
248,308
249,310
250,310
251,305
252,310
253,310
254,309
255,307
256,311
257,316
258,307
259,315
260,311
261,315
262,307
263,314
264,312
265,312
266,309
267,312
268,313
269,312
270,312
271,311
272,311
273,314
274,309
275,312
276,313
277,309
278,314
279,353
280,191678
